Name,UW15939L,UW15970L,UW16057L,R-22-10209,R-21-10091,R-21-10052,P-21-20120,P-22-20282,P-21-20116,V-21-40005,V-21-40001,V-21-40015,UW15977O,R-21-10111,R-21-10099,R-22-10139,R-21-10122,P-21-20135,P-22-20006,P-22-20227,P-22-20198,P-21-20119,P-21-20045,UW15953O,UW15993L,UW15993O,P-21-20167,P-22-20168,Region,DS,Minimum
V3-DS10,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,V3,DS10,3926
V6-DS51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,V6,DS51,3929
V7-DS9,1,1,4,2,1,0,0,2,3,2,1,2,0,0,0,1,0,3,0,1,1,1,0,0,0,0,0,0,V7,DS9,4037
V2-DS8,1,1,2,0,1,0,1,0,1,0,0,1,1,1,1,0,1,2,1,3,1,1,2,3,1,1,2,1,V2,DS8,4113
V1-DS7,1,0,0,0,2,0,1,0,0,0,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,0,1,0,V1,DS7,4211
V4-DS6,1,0,1,1,1,2,1,2,2,0,0,0,1,1,0,0,1,2,1,2,0,1,0,2,1,1,1,1,V4,DS6,4299
V5-DS5,6,5,0,0,5,0,3,2,3,0,1,1,1,1,2,2,1,2,3,1,3,2,2,3,0,0,2,4,V5,DS5,4347
V6-DS4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,V6,DS4,4441
V3-DS3,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,V3,DS3,4444
V6-DS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V6,DS1,11000
V7-DS2,0,0,1,1,0,0,1,2,8,0,0,0,1,0,0,2,1,0,3,1,2,0,0,4,1,0,0,0,V7,DS2,11673
